teamcolor_id,stage,stat_code,stat_name,value,raw_effect
1008,3,balance,밸런스,1,밸런스 +1
1008,3,crossing,크로스,2,크로스 +2
1008,3,overall,전체 능력치,3,전체 능력치 +3
1008,4,balance,밸런스,3,밸런스 +3
1008,4,crossing,크로스,3,크로스 +3
1008,4,overall,전체 능력치,4,전체 능력치 +4
1009,1,overall,전체 능력치,1,전체 능력치 +1
1009,2,overall,전체 능력치,3,전체 능력치 +3
1009,3,overall,전체 능력치,3,전체 능력치 +3
1009,3,reactions,반응 속도,2,반응 속도 +2
1009,3,sprintspeed,속력,1,속력 +1
1009,4,overall,전체 능력치,4,전체 능력치 +4
1009,4,reactions,반응 속도,3,반응 속도 +3
1009,4,sprintspeed,속력,3,속력 +3
1010,1,overall,전체 능력치,1,전체 능력치 +1
1010,2,overall,전체 능력치,3,전체 능력치 +3
1010,3,overall,전체 능력치,3,전체 능력치 +3
1010,3,shortpassing,짧은 패스,2,짧은 패스 +2
1010,3,shotpower,슛 파워,1,슛 파워 +1
1010,4,overall,전체 능력치,4,전체 능력치 +4
1010,4,shortpassing,짧은 패스,3,짧은 패스 +3
1010,4,shotpower,슛 파워,3,슛 파워 +3
1011,1,overall,전체 능력치,1,전체 능력치 +1
1011,2,overall,전체 능력치,3,전체 능력치 +3
1011,3,ballcontrol,볼 컨트롤,1,볼 컨트롤 +1
1011,3,dribbling,드리블,2,드리블 +2
1011,3,overall,전체 능력치,3,전체 능력치 +3
1011,4,ballcontrol,볼 컨트롤,3,볼 컨트롤 +3
1011,4,dribbling,드리블,3,드리블 +3
1011,4,overall,전체 능력치,4,전체 능력치 +4
1012,1,overall,전체 능력치,1,전체 능력치 +1
1012,2,overall,전체 능력치,3,전체 능력치 +3
1012,3,agility,민첩성,2,민첩성 +2
1012,3,overall,전체 능력치,3,전체 능력치 +3
1012,3,vision,시야,1,시야 +1
1012,4,agility,민첩성,3,민첩성 +3
1012,4,overall,전체 능력치,4,전체 능력치 +4
1012,4,vision,시야,3,시야 +3
1013,1,overall,전체 능력치,1,전체 능력치 +1
1013,2,overall,전체 능력치,3,전체 능력치 +3
1013,3,dribbling,드리블,2,드리블 +2
1013,3,overall,전체 능력치,3,전체 능력치 +3
1013,3,vision,시야,1,시야 +1
1013,4,dribbling,드리블,3,드리블 +3
1013,4,overall,전체 능력치,4,전체 능력치 +4
1013,4,vision,시야,3,시야 +3
1014,1,overall,전체 능력치,1,전체 능력치 +1
1014,2,overall,전체 능력치,3,전체 능력치 +3
1014,3,acceleration,가속력,1,가속력 +1
1014,3,overall,전체 능력치,3,전체 능력치 +3
1014,3,sprintspeed,속력,2,속력 +2
1014,4,acceleration,가속력,3,가속력 +3
1014,4,overall,전체 능력치,4,전체 능력치 +4
1014,4,sprintspeed,속력,3,속력 +3
1015,1,overall,전체 능력치,1,전체 능력치 +1
1015,2,overall,전체 능력치,3,전체 능력치 +3
1015,3,interceptions,가로채기,1,가로채기 +1
1015,3,overall,전체 능력치,3,전체 능력치 +3
1015,3,standingtackle,태클,2,태클 +2
1015,4,interceptions,가로채기,3,가로채기 +3
1015,4,overall,전체 능력치,4,전체 능력치 +4
1015,4,standingtackle,태클,3,태클 +3
1016,1,overall,전체 능력치,1,전체 능력치 +1
1016,2,overall,전체 능력치,3,전체 능력치 +3
1016,3,ballcontrol,볼 컨트롤,1,볼 컨트롤 +1
1016,3,overall,전체 능력치,3,전체 능력치 +3
1016,3,shortpassing,짧은 패스,2,짧은 패스 +2
1016,4,ballcontrol,볼 컨트롤,3,볼 컨트롤 +3
1016,4,overall,전체 능력치,4,전체 능력치 +4
1016,4,shortpassing,짧은 패스,3,짧은 패스 +3
1017,1,overall,전체 능력치,1,전체 능력치 +1
1017,2,overall,전체 능력치,3,전체 능력치 +3
1017,3,overall,전체 능력치,3,전체 능력치 +3
1017,3,reactions,반응 속도,1,반응 속도 +1
1017,3,standingtackle,태클,2,태클 +2
1017,4,overall,전체 능력치,4,전체 능력치 +4
1017,4,reactions,반응 속도,3,반응 속도 +3
1017,4,standingtackle,태클,3,태클 +3
1018,1,overall,전체 능력치,1,전체 능력치 +1
1018,2,overall,전체 능력치,3,전체 능력치 +3
1018,3,dribbling,드리블,1,드리블 +1
1018,3,overall,전체 능력치,3,전체 능력치 +3
1018,3,vision,시야,2,시야 +2
1018,4,dribbling,드리블,3,드리블 +3
1018,4,overall,전체 능력치,4,전체 능력치 +4
1018,4,vision,시야,3,시야 +3
1019,1,overall,전체 능력치,1,전체 능력치 +1
1019,2,overall,전체 능력치,3,전체 능력치 +3
1019,3,longshots,중거리 슛,1,중거리 슛 +1
1019,3,overall,전체 능력치,3,전체 능력치 +3
1019,3,reactions,반응 속도,2,반응 속도 +2
1019,4,longshots,중거리 슛,3,중거리 슛 +3
1019,4,overall,전체 능력치,4,전체 능력치 +4
1019,4,reactions,반응 속도,3,반응 속도 +3
1020,1,overall,전체 능력치,1,전체 능력치 +1
1020,2,overall,전체 능력치,3,전체 능력치 +3
1020,3,longshots,중거리 슛,2,중거리 슛 +2
1020,3,overall,전체 능력치,3,전체 능력치 +3
1020,3,shortpassing,짧은 패스,1,짧은 패스 +1
1020,4,longshots,중거리 슛,3,중거리 슛 +3
1020,4,overall,전체 능력치,4,전체 능력치 +4
1020,4,shortpassing,짧은 패스,3,짧은 패스 +3
1021,1,overall,전체 능력치,1,전체 능력치 +1
1021,2,overall,전체 능력치,3,전체 능력치 +3
1021,3,agility,민첩성,2,민첩성 +2
1021,3,overall,전체 능력치,3,전체 능력치 +3
1021,3,shortpassing,짧은 패스,1,짧은 패스 +1
1021,4,agility,민첩성,3,민첩성 +3
1021,4,overall,전체 능력치,4,전체 능력치 +4
1021,4,shortpassing,짧은 패스,3,짧은 패스 +3
1022,1,overall,전체 능력치,1,전체 능력치 +1
1022,2,overall,전체 능력치,3,전체 능력치 +3
1022,3,curve,커브,1,커브 +1
1022,3,overall,전체 능력치,3,전체 능력치 +3
1022,3,vision,시야,2,시야 +2
1022,4,curve,커브,3,커브 +3
1022,4,overall,전체 능력치,4,전체 능력치 +4
1022,4,vision,시야,3,시야 +3
1023,1,overall,전체 능력치,1,전체 능력치 +1
1023,2,overall,전체 능력치,3,전체 능력치 +3
1023,3,finishing,골 결정력,2,골 결정력 +2
1023,3,longshots,중거리 슛,1,중거리 슛 +1
1023,3,overall,전체 능력치,3,전체 능력치 +3
1023,4,finishing,골 결정력,3,골 결정력 +3
1023,4,longshots,중거리 슛,3,중거리 슛 +3
1023,4,overall,전체 능력치,4,전체 능력치 +4
1024,1,overall,전체 능력치,1,전체 능력치 +1
1024,2,overall,전체 능력치,3,전체 능력치 +3
1024,3,interceptions,가로채기,2,가로채기 +2
1024,3,overall,전체 능력치,3,전체 능력치 +3
1024,3,vision,시야,1,시야 +1
1024,4,interceptions,가로채기,3,가로채기 +3
1024,4,overall,전체 능력치,4,전체 능력치 +4
1024,4,vision,시야,3,시야 +3
1025,1,overall,전체 능력치,1,전체 능력치 +1
1025,2,overall,전체 능력치,3,전체 능력치 +3
1025,3,marking,대인 수비,2,대인 수비 +2
1025,3,overall,전체 능력치,3,전체 능력치 +3
1025,3,standingtackle,태클,1,태클 +1
1025,4,marking,대인 수비,3,대인 수비 +3
1025,4,overall,전체 능력치,4,전체 능력치 +4
1025,4,standingtackle,태클,3,태클 +3
1026,1,overall,전체 능력치,1,전체 능력치 +1
1026,2,overall,전체 능력치,3,전체 능력치 +3
1026,3,longpassing,긴 패스,1,긴 패스 +1
1026,3,overall,전체 능력치,3,전체 능력치 +3
1026,3,standingtackle,태클,2,태클 +2
1026,4,longpassing,긴 패스,3,긴 패스 +3
1026,4,overall,전체 능력치,4,전체 능력치 +4
1026,4,standingtackle,태클,3,태클 +3
1027,1,overall,전체 능력치,1,전체 능력치 +1
1027,2,overall,전체 능력치,3,전체 능력치 +3
1027,3,ballcontrol,볼 컨트롤,1,볼 컨트롤 +1
1027,3,dribbling,드리블,2,드리블 +2
1027,3,overall,전체 능력치,3,전체 능력치 +3
1027,4,ballcontrol,볼 컨트롤,3,볼 컨트롤 +3
1027,4,dribbling,드리블,3,드리블 +3
1027,4,overall,전체 능력치,4,전체 능력치 +4
1028,1,overall,전체 능력치,1,전체 능력치 +1
1028,2,overall,전체 능력치,3,전체 능력치 +3
1028,3,finishing,골 결정력,1,골 결정력 +1
1028,3,overall,전체 능력치,3,전체 능력치 +3
1028,3,positioning,위치 선정,2,위치 선정 +2
1028,4,finishing,골 결정력,3,골 결정력 +3
1028,4,overall,전체 능력치,4,전체 능력치 +4
1028,4,positioning,위치 선정,3,위치 선정 +3
1029,1,overall,전체 능력치,1,전체 능력치 +1
1029,2,overall,전체 능력치,3,전체 능력치 +3
1029,3,agility,민첩성,1,민첩성 +1
1029,3,overall,전체 능력치,3,전체 능력치 +3
1029,3,vision,시야,2,시야 +2
1029,4,agility,민첩성,3,민첩성 +3
1029,4,overall,전체 능력치,4,전체 능력치 +4
1029,4,vision,시야,3,시야 +3
1030,1,overall,전체 능력치,1,전체 능력치 +1
1030,2,overall,전체 능력치,3,전체 능력치 +3
1030,3,aggression,적극성,2,적극성 +2
1030,3,overall,전체 능력치,3,전체 능력치 +3
1030,3,strength,몸싸움,1,몸싸움 +1
1030,4,aggression,적극성,3,적극성 +3
1030,4,overall,전체 능력치,4,전체 능력치 +4
1030,4,strength,몸싸움,3,몸싸움 +3
1031,1,overall,전체 능력치,1,전체 능력치 +1
1031,2,overall,전체 능력치,3,전체 능력치 +3
1031,3,dribbling,드리블,2,드리블 +2
1031,3,overall,전체 능력치,3,전체 능력치 +3
1031,3,shortpassing,짧은 패스,1,짧은 패스 +1
1031,4,dribbling,드리블,3,드리블 +3
1031,4,overall,전체 능력치,4,전체 능력치 +4
1031,4,shortpassing,짧은 패스,3,짧은 패스 +3
1032,1,overall,전체 능력치,1,전체 능력치 +1
1032,2,overall,전체 능력치,3,전체 능력치 +3
1032,3,finishing,골 결정력,2,골 결정력 +2
1032,3,interceptions,가로채기,1,가로채기 +1
1032,3,overall,전체 능력치,3,전체 능력치 +3
1032,4,finishing,골 결정력,3,골 결정력 +3
1032,4,interceptions,가로채기,3,가로채기 +3
1032,4,overall,전체 능력치,4,전체 능력치 +4
1033,1,overall,전체 능력치,1,전체 능력치 +1
1033,2,overall,전체 능력치,3,전체 능력치 +3
1033,3,finishing,골 결정력,2,골 결정력 +2
1033,3,overall,전체 능력치,3,전체 능력치 +3
1033,3,positioning,위치 선정,1,위치 선정 +1
1033,4,finishing,골 결정력,3,골 결정력 +3
1033,4,overall,전체 능력치,4,전체 능력치 +4
1033,4,positioning,위치 선정,3,위치 선정 +3
1034,1,overall,전체 능력치,1,전체 능력치 +1
1034,2,overall,전체 능력치,3,전체 능력치 +3
1034,3,acceleration,가속력,2,가속력 +2
1034,3,finishing,골 결정력,1,골 결정력 +1
1034,3,overall,전체 능력치,3,전체 능력치 +3
1034,4,acceleration,가속력,3,가속력 +3
1034,4,finishing,골 결정력,3,골 결정력 +3
1034,4,overall,전체 능력치,4,전체 능력치 +4
1035,1,overall,전체 능력치,1,전체 능력치 +1
1035,2,overall,전체 능력치,3,전체 능력치 +3
1035,3,interceptions,가로채기,2,가로채기 +2
1035,3,marking,대인 수비,1,대인 수비 +1
1035,3,overall,전체 능력치,3,전체 능력치 +3
1035,4,interceptions,가로채기,3,가로채기 +3
1035,4,marking,대인 수비,3,대인 수비 +3
1035,4,overall,전체 능력치,4,전체 능력치 +4
1036,1,overall,전체 능력치,1,전체 능력치 +1
1036,2,overall,전체 능력치,3,전체 능력치 +3
1036,3,acceleration,가속력,1,가속력 +1
1036,3,overall,전체 능력치,3,전체 능력치 +3
1036,3,vision,시야,2,시야 +2
1036,4,acceleration,가속력,3,가속력 +3
1036,4,overall,전체 능력치,4,전체 능력치 +4
1036,4,vision,시야,3,시야 +3
1037,1,overall,전체 능력치,1,전체 능력치 +1
1037,2,overall,전체 능력치,3,전체 능력치 +3
1037,3,agility,민첩성,1,민첩성 +1
1037,3,overall,전체 능력치,3,전체 능력치 +3
1037,3,reactions,반응 속도,2,반응 속도 +2
1037,4,agility,민첩성,3,민첩성 +3
1037,4,overall,전체 능력치,4,전체 능력치 +4
1037,4,reactions,반응 속도,3,반응 속도 +3
1038,1,overall,전체 능력치,1,전체 능력치 +1
1038,2,overall,전체 능력치,3,전체 능력치 +3
1038,3,longshots,중거리 슛,2,중거리 슛 +2
1038,3,overall,전체 능력치,3,전체 능력치 +3
1038,3,standingtackle,태클,1,태클 +1
1038,4,longshots,중거리 슛,3,중거리 슛 +3
1038,4,overall,전체 능력치,4,전체 능력치 +4
1038,4,standingtackle,태클,3,태클 +3
1039,1,overall,전체 능력치,1,전체 능력치 +1
1039,2,overall,전체 능력치,3,전체 능력치 +3
1039,3,dribbling,드리블,1,드리블 +1
1039,3,overall,전체 능력치,3,전체 능력치 +3
1039,3,shortpassing,짧은 패스,2,짧은 패스 +2
1039,4,dribbling,드리블,3,드리블 +3
1039,4,overall,전체 능력치,4,전체 능력치 +4
1039,4,shortpassing,짧은 패스,3,짧은 패스 +3
1040,1,overall,전체 능력치,1,전체 능력치 +1
1040,2,overall,전체 능력치,3,전체 능력치 +3
1040,3,interceptions,가로채기,2,가로채기 +2
1040,3,overall,전체 능력치,3,전체 능력치 +3
1040,3,shortpassing,짧은 패스,1,짧은 패스 +1
1040,4,interceptions,가로채기,3,가로채기 +3
1040,4,overall,전체 능력치,4,전체 능력치 +4
1040,4,shortpassing,짧은 패스,3,짧은 패스 +3
1041,1,overall,전체 능력치,1,전체 능력치 +1
1041,2,overall,전체 능력치,3,전체 능력치 +3
1041,3,crossing,크로스,1,크로스 +1
1041,3,longpassing,긴 패스,2,긴 패스 +2
1041,3,overall,전체 능력치,3,전체 능력치 +3
1041,4,crossing,크로스,3,크로스 +3
1041,4,longpassing,긴 패스,3,긴 패스 +3
1041,4,overall,전체 능력치,4,전체 능력치 +4
1042,1,overall,전체 능력치,1,전체 능력치 +1
1042,2,overall,전체 능력치,3,전체 능력치 +3
1042,3,overall,전체 능력치,3,전체 능력치 +3
1042,3,standingtackle,태클,2,태클 +2
1042,3,strength,몸싸움,1,몸싸움 +1
1042,4,overall,전체 능력치,4,전체 능력치 +4
1042,4,standingtackle,태클,3,태클 +3
1042,4,strength,몸싸움,3,몸싸움 +3
1043,1,overall,전체 능력치,1,전체 능력치 +1
1043,2,overall,전체 능력치,3,전체 능력치 +3
1043,3,headingaccuracy,헤더,1,헤더 +1
1043,3,overall,전체 능력치,3,전체 능력치 +3
1043,3,strength,몸싸움,2,몸싸움 +2
1043,4,headingaccuracy,헤더,3,헤더 +3
1043,4,overall,전체 능력치,4,전체 능력치 +4
1043,4,strength,몸싸움,3,몸싸움 +3
1044,1,overall,전체 능력치,1,전체 능력치 +1
1044,2,overall,전체 능력치,3,전체 능력치 +3
1044,3,ballcontrol,볼 컨트롤,2,볼 컨트롤 +2
1044,3,dribbling,드리블,1,드리블 +1
1044,3,overall,전체 능력치,3,전체 능력치 +3
1044,4,ballcontrol,볼 컨트롤,3,볼 컨트롤 +3
1044,4,dribbling,드리블,3,드리블 +3
1044,4,overall,전체 능력치,4,전체 능력치 +4
1047,1,overall,전체 능력치,1,전체 능력치 +1
1047,2,overall,전체 능력치,3,전체 능력치 +3
1047,3,acceleration,가속력,2,가속력 +2
1047,3,dribbling,드리블,1,드리블 +1
1047,3,overall,전체 능력치,3,전체 능력치 +3
1047,4,acceleration,가속력,3,가속력 +3
1047,4,dribbling,드리블,3,드리블 +3
1047,4,overall,전체 능력치,4,전체 능력치 +4
1049,1,overall,전체 능력치,1,전체 능력치 +1
1049,2,overall,전체 능력치,3,전체 능력치 +3
1049,3,interceptions,가로채기,1,가로채기 +1
1049,3,overall,전체 능력치,3,전체 능력치 +3
1049,3,standingtackle,태클,2,태클 +2
1049,4,interceptions,가로채기,3,가로채기 +3
1049,4,overall,전체 능력치,4,전체 능력치 +4
1049,4,standingtackle,태클,3,태클 +3
1051,1,overall,전체 능력치,1,전체 능력치 +1
1051,2,overall,전체 능력치,3,전체 능력치 +3
1051,3,balance,밸런스,1,밸런스 +1
1051,3,marking,대인 수비,2,대인 수비 +2
1051,3,overall,전체 능력치,3,전체 능력치 +3
1051,4,balance,밸런스,3,밸런스 +3
1051,4,marking,대인 수비,3,대인 수비 +3
1051,4,overall,전체 능력치,4,전체 능력치 +4
1053,1,overall,전체 능력치,1,전체 능력치 +1
1053,2,overall,전체 능력치,3,전체 능력치 +3
1053,3,crossing,크로스,2,크로스 +2
1053,3,longpassing,긴 패스,1,긴 패스 +1
1053,3,overall,전체 능력치,3,전체 능력치 +3
1053,4,crossing,크로스,3,크로스 +3
1053,4,longpassing,긴 패스,3,긴 패스 +3
1053,4,overall,전체 능력치,4,전체 능력치 +4
1062,1,overall,전체 능력치,1,전체 능력치 +1
1062,2,overall,전체 능력치,3,전체 능력치 +3
1062,3,crossing,크로스,2,크로스 +2
1062,3,headingaccuracy,헤더,1,헤더 +1
1062,3,overall,전체 능력치,3,전체 능력치 +3
1062,4,crossing,크로스,3,크로스 +3
1062,4,headingaccuracy,헤더,3,헤더 +3
1062,4,overall,전체 능력치,4,전체 능력치 +4
1063,1,overall,전체 능력치,1,전체 능력치 +1
1063,2,overall,전체 능력치,3,전체 능력치 +3
1063,3,finishing,골 결정력,2,골 결정력 +2
1063,3,overall,전체 능력치,3,전체 능력치 +3
1063,3,shotpower,슛 파워,1,슛 파워 +1
1063,4,finishing,골 결정력,3,골 결정력 +3
1063,4,overall,전체 능력치,4,전체 능력치 +4
1063,4,shotpower,슛 파워,3,슛 파워 +3
1064,1,overall,전체 능력치,1,전체 능력치 +1
1064,2,overall,전체 능력치,3,전체 능력치 +3
1064,3,dribbling,드리블,2,드리블 +2
1064,3,overall,전체 능력치,3,전체 능력치 +3
1064,3,sprintspeed,속력,1,속력 +1
1064,4,dribbling,드리블,3,드리블 +3
1064,4,overall,전체 능력치,4,전체 능력치 +4
1064,4,sprintspeed,속력,3,속력 +3
1065,1,overall,전체 능력치,1,전체 능력치 +1
1065,2,overall,전체 능력치,3,전체 능력치 +3
1065,3,interceptions,가로채기,2,가로채기 +2
1065,3,overall,전체 능력치,3,전체 능력치 +3
1065,3,standingtackle,태클,1,태클 +1
1065,4,interceptions,가로채기,3,가로채기 +3
1065,4,overall,전체 능력치,4,전체 능력치 +4
1065,4,standingtackle,태클,3,태클 +3
1066,1,overall,전체 능력치,1,전체 능력치 +1
1066,2,overall,전체 능력치,3,전체 능력치 +3
1066,3,marking,대인 수비,1,대인 수비 +1
1066,3,overall,전체 능력치,3,전체 능력치 +3
1066,3,slidingtackle,슬라이딩 태클,2,슬라이딩 태클 +2
1066,4,marking,대인 수비,3,대인 수비 +3
1066,4,overall,전체 능력치,4,전체 능력치 +4
1066,4,slidingtackle,슬라이딩 태클,3,슬라이딩 태클 +3
1067,1,overall,전체 능력치,1,전체 능력치 +1
1067,2,overall,전체 능력치,3,전체 능력치 +3
1067,3,overall,전체 능력치,3,전체 능력치 +3
1067,3,reactions,반응 속도,1,반응 속도 +1
1067,3,sprintspeed,속력,2,속력 +2
1067,4,overall,전체 능력치,4,전체 능력치 +4
1067,4,reactions,반응 속도,3,반응 속도 +3
1067,4,sprintspeed,속력,3,속력 +3
1068,1,overall,전체 능력치,1,전체 능력치 +1
1068,2,overall,전체 능력치,3,전체 능력치 +3
1068,3,longpassing,긴 패스,2,긴 패스 +2
1068,3,overall,전체 능력치,3,전체 능력치 +3
1068,3,shortpassing,짧은 패스,1,짧은 패스 +1
1068,4,longpassing,긴 패스,3,긴 패스 +3
1068,4,overall,전체 능력치,4,전체 능력치 +4
1068,4,shortpassing,짧은 패스,3,짧은 패스 +3
1069,1,overall,전체 능력치,1,전체 능력치 +1
1069,2,overall,전체 능력치,3,전체 능력치 +3
1069,3,freekickaccuracy,프리킥,2,프리킥 +2
1069,3,headingaccuracy,헤더,1,헤더 +1
1069,3,overall,전체 능력치,3,전체 능력치 +3
1069,4,freekickaccuracy,프리킥,3,프리킥 +3
1069,4,headingaccuracy,헤더,3,헤더 +3
1069,4,overall,전체 능력치,4,전체 능력치 +4
1070,1,overall,전체 능력치,1,전체 능력치 +1
1070,2,overall,전체 능력치,3,전체 능력치 +3
1070,3,aggression,적극성,1,적극성 +1
1070,3,marking,대인 수비,2,대인 수비 +2
1070,3,overall,전체 능력치,3,전체 능력치 +3
1070,4,aggression,적극성,3,적극성 +3
1070,4,marking,대인 수비,3,대인 수비 +3
1070,4,overall,전체 능력치,4,전체 능력치 +4
1071,1,overall,전체 능력치,1,전체 능력치 +1
1071,2,overall,전체 능력치,3,전체 능력치 +3
1071,3,overall,전체 능력치,3,전체 능력치 +3
1071,3,standingtackle,태클,1,태클 +1
1071,3,strength,몸싸움,2,몸싸움 +2
1071,4,overall,전체 능력치,4,전체 능력치 +4
1071,4,standingtackle,태클,3,태클 +3
1071,4,strength,몸싸움,3,몸싸움 +3
2001,1,overall,전체 능력치,1,전체 능력치 +1
2001,2,overall,전체 능력치,3,전체 능력치 +3
2001,3,crossing,크로스,2,크로스 +2
2001,3,longpassing,긴 패스,1,긴 패스 +1
2001,3,overall,전체 능력치,3,전체 능력치 +3
2001,4,crossing,크로스,3,크로스 +3
2001,4,longpassing,긴 패스,3,긴 패스 +3
2001,4,overall,전체 능력치,4,전체 능력치 +4
2002,1,overall,전체 능력치,1,전체 능력치 +1
2002,2,overall,전체 능력치,3,전체 능력치 +3
2002,3,dribbling,드리블,2,드리블 +2
2002,3,overall,전체 능력치,3,전체 능력치 +3
2002,3,shortpassing,짧은 패스,1,짧은 패스 +1
2002,4,dribbling,드리블,3,드리블 +3
2002,4,overall,전체 능력치,4,전체 능력치 +4
2002,4,shortpassing,짧은 패스,3,짧은 패스 +3
2003,1,overall,전체 능력치,1,전체 능력치 +1
2003,2,overall,전체 능력치,3,전체 능력치 +3
2003,3,ballcontrol,볼 컨트롤,2,볼 컨트롤 +2
2003,3,overall,전체 능력치,3,전체 능력치 +3
2003,3,stamina,스태미너,1,스태미너 +1
2003,4,ballcontrol,볼 컨트롤,3,볼 컨트롤 +3
2003,4,overall,전체 능력치,4,전체 능력치 +4
2003,4,stamina,스태미너,3,스태미너 +3
2004,1,overall,전체 능력치,1,전체 능력치 +1
2004,2,overall,전체 능력치,3,전체 능력치 +3
2004,3,crossing,크로스,1,크로스 +1
2004,3,overall,전체 능력치,3,전체 능력치 +3
2004,3,shortpassing,짧은 패스,2,짧은 패스 +2
2004,4,crossing,크로스,3,크로스 +3
2004,4,overall,전체 능력치,4,전체 능력치 +4
2004,4,shortpassing,짧은 패스,3,짧은 패스 +3
2005,1,overall,전체 능력치,1,전체 능력치 +1
2005,2,overall,전체 능력치,3,전체 능력치 +3
2005,3,longshots,중거리 슛,1,중거리 슛 +1
2005,3,overall,전체 능력치,3,전체 능력치 +3
2005,3,standingtackle,태클,2,태클 +2
2005,4,longshots,중거리 슛,3,중거리 슛 +3
2005,4,overall,전체 능력치,4,전체 능력치 +4
2005,4,standingtackle,태클,3,태클 +3
2006,1,overall,전체 능력치,1,전체 능력치 +1
2006,2,overall,전체 능력치,3,전체 능력치 +3
2006,3,finishing,골 결정력,1,골 결정력 +1
2006,3,longpassing,긴 패스,2,긴 패스 +2
2006,3,overall,전체 능력치,3,전체 능력치 +3
2006,4,finishing,골 결정력,3,골 결정력 +3
2006,4,longpassing,긴 패스,3,긴 패스 +3
2006,4,overall,전체 능력치,4,전체 능력치 +4
2007,1,overall,전체 능력치,1,전체 능력치 +1
2007,2,overall,전체 능력치,3,전체 능력치 +3
2007,3,dribbling,드리블,1,드리블 +1
2007,3,overall,전체 능력치,3,전체 능력치 +3
2007,3,positioning,위치 선정,2,위치 선정 +2
2007,4,dribbling,드리블,3,드리블 +3
2007,4,overall,전체 능력치,4,전체 능력치 +4
2007,4,positioning,위치 선정,3,위치 선정 +3
2008,1,overall,전체 능력치,1,전체 능력치 +1
2008,2,overall,전체 능력치,3,전체 능력치 +3
2008,3,dribbling,드리블,2,드리블 +2
2008,3,overall,전체 능력치,3,전체 능력치 +3
2008,3,strength,몸싸움,1,몸싸움 +1
2008,4,dribbling,드리블,3,드리블 +3
