spid,pid,name,season,position,position2,position3,ovr,ovr2,ovr3,pay,preferredfoot,weakfootabilitytypecode,height,weight,nation_id,thumb_path
100001116,1116,마르셀 드사이,ICONTM,cdm,cb,,119,119,0,31,1,3,185,81,18,/playersAction/p100001116.png?rd=202607310550
100001179,1179,잔루이지 부폰,ICONTM,gk,,,122,0,0,29,1,2,192,82,27,/playersAction/p100001179.png?rd=202607310550
100001183,1183,파비오 칸나바로,ICONTM,cb,,,121,0,0,31,1,3,176,74,27,/playersAction/p100001183.png?rd=202607310550
100001201,1201,잔프랑코 졸라,ICONTM,cf,,,117,0,0,30,1,5,168,67,27,/playersAction/p100001201.png?rd=202607310550
100001238,1238,프란체스코 토티,ICONTM,cf,st,,121,121,0,33,1,5,180,82,27,/playersAction/p100001238.png?rd=202607310550
100001256,1256,클라렌스 세이도르프,ICONTM,cam,cm,,119,119,0,31,1,4,176,78,34,/playersAction/p100001256.png?rd=202607310550
100001397,1397,지네딘 지단,ICONTM,cam,lm,cm,123,123,122,34,1,5,185,77,18,/playersAction/p100001397.png?rd=202607310550
100001419,1419,파트리크 비에이라,ICONTM,cdm,cm,,120,120,0,32,1,4,192,82,18,/playersAction/p100001419.png?rd=202607310550
100001605,1605,로베르 피레스,ICONTM,lm,lw,,117,117,0,30,1,4,187,74,18,/playersAction/p100001605.png?rd=202607310550
100001615,1615,릴리앙 튀람,ICONTM,rb,,,120,0,0,31,1,5,182,75,18,/playersAction/p100001615.png?rd=202607310550
100001620,1620,에마뉘엘 프티,ICONTM,cdm,cm,,118,118,0,30,2,3,185,79,18,/playersAction/p100001620.png?rd=202607310550
100001625,1625,티에리 앙리,ICONTM,st,lw,,121,121,0,32,1,5,188,83,18,/playersAction/p100001625.png?rd=202607310550
100001668,1668,클로드 마켈렐레,ICONTM,cdm,cm,,119,116,0,30,1,3,174,70,18,/playersAction/p100001668.png?rd=202607310550
100001845,1845,올레 군나르 솔샤르,ICONTM,st,,,116,0,0,30,1,5,178,74,36,/playersAction/p100001845.png?rd=202607310550
100003647,3647,미하엘 발락,ICONTM,cam,cm,,120,120,0,32,1,5,188,85,21,/playersAction/p100003647.png?rd=202607310550
100004000,4000,데니스 베르캄프,ICONTM,cf,,,121,0,0,32,1,5,183,78,34,/playersAction/p100004000.png?rd=202607310550
100004202,4202,젠나로 가투소,ICONTM,cdm,cm,rm,118,114,112,30,1,4,177,76,27,/playersAction/p100004202.png?rd=202607310550
100004231,4231,히바우두,ICONTM,cam,lw,,121,121,0,32,2,3,186,75,54,/playersAction/p100004231.png?rd=202607310550
100004833,4833,스토이치코프,ICONTM,rw,st,,119,119,0,31,2,4,178,73,9,/playersAction/p100004833.png?rd=202607310550
100005003,5003,카푸,ICONTM,rb,,,121,0,0,31,1,4,176,75,54,/playersAction/p100005003.png?rd=202607310550
100005099,5099,잔루카 잠브로타,ICONTM,rb,lb,,118,118,0,30,1,5,181,76,27,/playersAction/p100005099.png?rd=202607310550
100005419,5419,마이클 오언,ICONTM,st,,,120,0,0,31,1,4,173,70,14,/playersAction/p100005419.png?rd=202607310550
100005467,5467,제이미 캐러거,ICONTM,cb,,,116,0,0,30,1,3,185,83,14,/playersAction/p100005467.png?rd=202607310550
100005471,5471,프랭크 램파드,ICONTM,cm,cam,,120,120,0,32,1,5,184,89,14,/playersAction/p100005471.png?rd=202607310550
100005479,5479,카시야스,ICONTM,gk,,,121,0,0,27,2,3,185,80,45,/playersAction/p100005479.png?rd=202607310550
100005589,5589,루이스 피구,ICONTM,rw,rm,,121,121,0,32,1,5,180,75,38,/playersAction/p100005589.png?rd=202607310550
100005673,5673,야리 리트마넨,ICONTM,cam,cf,,117,117,0,30,1,5,182,78,17,/playersAction/p100005673.png?rd=202607310550
100005680,5680,클라위베르트,ICONTM,st,,,118,0,0,31,1,5,188,78,34,/playersAction/p100005680.png?rd=202607310550
100005984,5984,다비드 트레제게,ICONTM,st,,,119,0,0,31,1,5,187,75,18,/playersAction/p100005984.png?rd=202607310550
100006235,6235,파벨 네드베드,ICONTM,cam,lm,,120,120,0,32,1,5,177,72,12,/playersAction/p100006235.png?rd=202607310550
100006975,6975,프레디 융베리,ICONTM,rm,lm,,117,117,0,30,1,5,175,73,46,/playersAction/p100006975.png?rd=202607310550
100007289,7289,리오 퍼디난드,ICONTM,cb,,,120,0,0,32,1,3,189,87,14,/playersAction/p100007289.png?rd=202607310550
100007512,7512,에르난 크레스포,ICONTM,st,,,119,0,0,31,1,5,184,78,52,/playersAction/p100007512.png?rd=202607310550
100007518,7518,베론,ICONTM,cm,cam,lm,118,118,117,30,1,4,186,80,52,/playersAction/p100007518.png?rd=202607310550
100007763,7763,안드레아 피를로,ICONTM,cm,,,121,0,0,32,1,5,177,67,27,/playersAction/p100007763.png?rd=202607310550
100007826,7826,로빈 반페르시,ICONTM,st,,,120,0,0,32,2,5,187,71,34,/playersAction/p100007826.png?rd=202607310550
100009676,9676,사뮈엘 에토,ICONTM,st,lw,,121,121,0,32,1,5,179,75,103,/playersAction/p100009676.png?rd=202607310550
100010264,10264,뤼트 반니스텔로이,ICONTM,st,,,121,0,0,32,1,4,188,80,34,/playersAction/p100010264.png?rd=202607310550
100010535,10535,차비,ICONTM,cm,,,122,0,0,31,1,4,170,67,45,/playersAction/p100010535.png?rd=202607310550
100011141,11141,미로슬라프 클로제,ICONTM,st,,,120,0,0,32,1,4,184,84,21,/playersAction/p100011141.png?rd=202607310550
100013038,13038,카를레스 푸욜,ICONTM,cb,,,120,0,0,31,1,3,178,80,45,/playersAction/p100013038.png?rd=202607310550
100013128,13128,안드리 셰우첸코,ICONTM,st,,,121,0,0,33,1,5,183,72,49,/playersAction/p100013128.png?rd=202607310550
100013383,13383,나카타 히데토시,ICONTM,cam,,,114,0,0,29,1,5,175,72,163,/playersAction/p100013383.png?rd=202607310550
100013743,13743,스티븐 제라드,ICONTM,cam,cm,,120,120,0,32,1,5,183,83,14,/playersAction/p100013743.png?rd=202607310550
100020289,20289,야야 투레,ICONTM,cm,,,119,0,0,32,1,5,188,90,108,/playersAction/p100020289.png?rd=202607310550
100023174,23174,리켈메,ICONTM,cam,,,117,0,0,29,1,4,183,79,52,/playersAction/p100023174.png?rd=202607310550
100028130,28130,호나우지뉴,ICONTM,lw,cam,,122,122,0,32,1,4,180,78,54,/playersAction/p100028130.png?rd=202607310550
100031432,31432,디디에 드로그바,ICONTM,st,,,121,0,0,33,1,5,189,88,108,/playersAction/p100031432.png?rd=202607310550
100034079,34079,애슐리 콜,ICONTM,lb,,,118,0,0,29,2,3,176,66,14,/playersAction/p100034079.png?rd=202607310550
100037576,37576,호나우두,ICONTM,st,,,123,0,0,34,1,5,183,78,54,/playersAction/p100037576.png?rd=202607310550
100039943,39943,박지성,ICONTM,cam,lw,,119,119,0,31,1,5,178,73,167,/playersAction/p100039943.png?rd=202607310550
100041236,41236,즐라탄,ICONTM,st,,,121,0,0,33,1,5,195,84,46,/playersAction/p100041236.png?rd=202607310550
100045197,45197,샤비 알론소,ICONTM,cm,cdm,,120,120,0,31,1,4,183,77,45,/playersAction/p100045197.png?rd=202607310550
100045661,45661,라울,ICONTM,cf,st,,120,120,0,31,2,4,180,68,45,/playersAction/p100045661.png?rd=202607310550
100045674,45674,마이클 에시앙,ICONTM,cdm,cm,,118,117,0,30,1,4,177,80,117,/playersAction/p100045674.png?rd=202607310550
100048940,48940,페트르 체흐,ICONTM,gk,,,119,0,0,27,2,3,196,90,12,/playersAction/p100048940.png?rd=202607310550
100049369,49369,페르난도 토레스,ICONTM,st,,,119,0,0,32,1,5,186,78,45,/playersAction/p100049369.png?rd=202607310550
100051539,51539,에드윈 반데르사르,ICONTM,gk,,,118,0,0,27,1,3,197,83,34,/playersAction/p100051539.png?rd=202607310550
100052241,52241,헨릭 라르손,ICONTM,st,,,118,0,0,30,1,5,178,76,46,/playersAction/p100052241.png?rd=202607310550
100054050,54050,웨인 루니,ICONTM,st,cf,cam,121,121,121,32,1,5,176,82,14,/playersAction/p100054050.png?rd=202607310550
100121939,121939,필립 람,ICONTM,rb,,,120,0,0,31,1,5,170,65,21,/playersAction/p100121939.png?rd=202607310550
100121944,121944,슈바인슈타이거,ICONTM,cm,cdm,,119,119,0,30,1,4,183,79,21,/playersAction/p100121944.png?rd=202607310550
100138449,138449,카카,ICONTM,cam,,,121,0,0,33,1,5,186,78,54,/playersAction/p100138449.png?rd=202607310550
100138956,138956,조르조 키엘리니,ICONTM,cb,,,119,0,0,31,2,3,187,86,27,/playersAction/p100138956.png?rd=202607310550
100140601,140601,네마냐 비디치,ICONTM,cb,,,119,0,0,31,1,3,190,84,51,/playersAction/p100140601.png?rd=202607310550
100156353,156353,루이스 에르난데스,ICONTM,st,,,116,0,0,29,1,3,175,69,83,/playersAction/p100156353.png?rd=202607310550
100156616,156616,프랑크 리베리,ICONTM,lw,,,119,0,0,31,1,5,170,72,18,/playersAction/p100156616.png?rd=202607310550
100161840,161840,페르난도 이에로,ICONTM,cb,,,119,0,0,30,1,3,187,84,45,/playersAction/p100161840.png?rd=202607310550
100166124,166124,게오르게 하지,ICONTM,cam,lm,,119,119,0,31,2,5,172,68,39,/playersAction/p100166124.png?rd=202607310550
100166149,166149,우고 산체스,ICONTM,st,,,121,0,0,32,2,5,176,73,83,/playersAction/p100166149.png?rd=202607310550
100166691,166691,지쿠,ICONTM,cam,,,122,0,0,32,1,5,172,71,54,/playersAction/p100166691.png?rd=202607310550
100166906,166906,프랑코 바레시,ICONTM,cb,,,122,0,0,32,1,4,176,70,27,/playersAction/p100166906.png?rd=202607310550
100167135,167135,카를루스 아우베르투,ICONTM,rb,,,120,0,0,31,1,4,180,76,54,/playersAction/p100167135.png?rd=202607310550
100167198,167198,에릭 칸토나,ICONTM,cf,,,121,0,0,33,1,5,188,89,18,/playersAction/p100167198.png?rd=202607310550
100167680,167680,로날트 쿠만,ICONTM,cb,,,120,0,0,31,1,3,181,82,34,/playersAction/p100167680.png?rd=202607310550
100168473,168473,베켄바워,ICONTM,cb,,,123,0,0,33,1,5,181,75,21,/playersAction/p100168473.png?rd=202607310550
100173731,173731,가레스 베일,ICONTM,lm,lw,,119,119,0,31,2,3,183,74,50,/playersAction/p100173731.png?rd=202607310550
100176676,176676,마르셀루,ICONTM,lb,,,120,0,0,32,2,5,174,75,54,/playersAction/p100176676.png?rd=202607310550
100182521,182521,토니 크로스,ICONTM,cm,,,120,0,0,32,1,5,183,78,21,/playersAction/p100182521.png?rd=202607310550
100190042,190042,마라도나,ICONTM,cam,cf,,124,124,0,33,2,3,165,70,52,/playersAction/p100190042.png?rd=202607310550
100190043,190043,펠레,ICONTM,cf,st,,124,124,0,34,1,5,172,68,54,/playersAction/p100190043.png?rd=202607310550
100190044,190044,보비 무어,ICONTM,cb,,,120,0,0,31,1,4,178,72,14,/playersAction/p100190044.png?rd=202607310550
100190045,190045,요한 크루이프,ICONTM,cf,,,123,0,0,33,1,5,180,71,34,/playersAction/p100190045.png?rd=202607310550
100190046,190046,소크라테스,ICONTM,cam,,,118,0,0,31,1,5,192,79,54,/playersAction/p100190046.png?rd=202607310550
100190048,190048,게르트 뮐러,ICONTM,st,,,123,0,0,34,1,5,176,74,21,/playersAction/p100190048.png?rd=202607310550
100190053,190053,페터 슈마이켈,ICONTM,gk,,,120,0,0,28,1,3,193,92,13,/playersAction/p100190053.png?rd=202607310550
100191189,191189,로타어 마테우스,ICONTM,cm,cam,cdm,123,122,122,33,1,5,174,70,21,/playersAction/p100191189.png?rd=202607310550
100191208,191208,차범근,ICONTM,st,,,120,0,0,32,1,5,179,78,167,/playersAction/p100191208.png?rd=202607310550
100191695,191695,부트라게뇨,ICONTM,st,,,119,0,0,31,1,5,168,68,45,/playersAction/p100191695.png?rd=202607310550
100192181,192181,마르코 반바스텐,ICONTM,st,,,123,0,0,34,1,5,188,78,34,/playersAction/p100192181.png?rd=202607310550
100192190,192190,둥가,ICONTM,cdm,,,120,0,0,32,1,4,177,75,54,/playersAction/p100192190.png?rd=202607310550
100214098,214098,프랑크 레이카르트,ICONTM,cdm,cm,,121,121,0,32,1,4,187,85,34,/playersAction/p100214098.png?rd=202607310550
100214100,214100,루드 굴리트,ICONTM,cf,cam,rw,122,122,122,34,1,5,191,88,34,/playersAction/p100214100.png?rd=202607310550
100214101,214101,파울루 푸트리,ICONTM,cam,lw,,117,117,0,30,2,5,175,74,38,/playersAction/p100214101.png?rd=202607310550
100214267,214267,게리 리네커,ICONTM,st,,,119,0,0,31,1,5,177,74,14,/playersAction/p100214267.png?rd=202607310550
100214649,214649,다보르 슈케르,ICONTM,st,,,116,0,0,30,2,5,183,78,10,/playersAction/p100214649.png?rd=202607310550
100215732,215732,올리버 비어호프,ICONTM,st,,,116,0,0,29,1,4,191,83,21,/playersAction/p100215732.png?rd=202607310550
100221162,221162,바티스투타,ICONTM,st,,,121,0,0,32,1,5,185,73,52,/playersAction/p100221162.png?rd=202607310550
100222000,222000,미카엘 라우드루프,ICONTM,cf,lw,,119,119,0,31,1,5,183,78,13,/playersAction/p100222000.png?rd=202607310550
100222481,222481,로랑 블랑,ICONTM,cb,,,119,0,0,30,1,3,192,77,18,/playersAction/p100222481.png?rd=202607310550
100226764,226764,조지 베스트,ICONTM,rw,,,122,0,0,33,1,5,175,65,35,/playersAction/p100226764.png?rd=202607310550
100230025,230025,보비 찰턴,ICONTM,cam,,,122,0,0,32,2,5,173,72,14,/playersAction/p100230025.png?rd=202607310550
100238380,238380,레프 야신,ICONTM,gk,,,123,0,0,29,1,3,189,82,40,/playersAction/p100238380.png?rd=202607310550
100242519,242519,에우제비우,ICONTM,st,,,122,0,0,33,1,5,175,76,38,/playersAction/p100242519.png?rd=202607310550
100247515,247515,존 반스,ICONTM,lw,,,116,0,0,30,2,5,182,76,14,/playersAction/p100247515.png?rd=202607310550
100247553,247553,가린샤,ICONTM,rw,,,122,0,0,32,1,4,169,72,54,/playersAction/p100247553.png?rd=202607310550
100247699,247699,케니 달글리시,ICONTM,cf,,,120,0,0,32,1,5,173,73,42,/playersAction/p100247699.png?rd=202607310550
100247703,247703,이언 러시,ICONTM,st,,,120,0,0,31,1,5,180,79,50,/playersAction/p100247703.png?rd=202607310550
100248146,248146,이언 라이트,ICONTM,st,,,118,0,0,30,1,5,175,73,14,/playersAction/p100248146.png?rd=202607310550
100254642,254642,페렌츠 푸스카스,ICONTM,cf,,,123,0,0,32,2,4,172,72,23,/playersAction/p100254642.png?rd=202607310550
100268513,268513,자이르지뉴,ICONTM,rw,,,122,0,0,32,1,4,173,74,54,/playersAction/p100268513.png?rd=202607310550
101000041,41,이니에스타,ICON,cm,,,110,0,0,26,1,4,171,68,45,/playersAction/p101000041.png?rd=202607310550
101000051,51,앨런 시어러,ICON,st,,,109,0,0,26,1,4,182,78,14,/playersAction/p101000051.png?rd=202607310550
101000195,195,로비 파울러,ICON,st,cf,,103,103,0,24,2,4,175,72,14,/playersAction/p101000195.png?rd=202607310550
101000240,240,로이 킨,ICON,cdm,cm,,107,106,0,25,1,3,180,76,25,/playersAction/p101000240.png?rd=202607310550
101000241,241,라이언 긱스,ICON,lm,lw,,106,106,0,24,2,3,179,71,50,/playersAction/p101000241.png?rd=202607310550
101000244,244,게리 네빌,ICON,rb,,,104,0,0,24,1,3,179,79,14,/playersAction/p101000244.png?rd=202607310550
101000246,246,폴 스콜스,ICON,cm,cam,,107,107,0,25,1,3,171,71,14,/playersAction/p101000246.png?rd=202607310550
101000250,250,데이비드 베컴,ICON,rm,cm,,109,109,0,26,1,4,182,74,14,/playersAction/p101000250.png?rd=202607310540
101000388,388,솔 캠벨,ICON,cb,,,105,0,0,25,1,3,188,89,14,/playersAction/p101000388.png?rd=202607310550
101000393,393,테디 셰링엄,ICON,st,cf,,103,101,0,24,1,3,185,79,14,/playersAction/p101000393.png?rd=202607310550
101000488,488,올리버 칸,ICON,gk,,,109,0,0,22,1,2,188,90,21,/playersAction/p101000488.png?rd=202607310550
101000570,570,제이-제이 오코차,ICON,cam,,,104,0,0,24,1,4,173,70,133,/playersAction/p101000570.png?rd=202607310550
101000942,942,크리스티안 비에리,ICON,st,,,106,0,0,25,2,4,185,82,27,/playersAction/p101000942.png?rd=202607310550
101001025,1025,후이 코스타,ICON,cam,cm,,106,106,0,25,1,4,180,74,38,/playersAction/p101001025.png?rd=202607310550
101001040,1040,호베르투 카를루스,ICON,lb,,,109,0,0,26,2,2,168,70,54,/playersAction/p101001040.png?rd=202607310550
101001041,1041,하비에르 사네티,ICON,rb,rm,cm,107,105,105,25,1,4,178,74,52,/playersAction/p101001041.png?rd=202607310550
101001075,1075,델피에로,ICON,cf,cam,,108,108,0,26,1,5,174,74,27,/playersAction/p101001075.png?rd=202607310550
101001088,1088,알레산드로 네스타,ICON,cb,,,109,0,0,26,1,3,187,79,27,/playersAction/p101001088.png?rd=202607310550
101001109,1109,파올로 말디니,ICON,cb,lb,,110,110,0,27,1,4,186,77,27,/playersAction/p101001109.png?rd=202607310550
101001114,1114,로베르토 바조,ICON,cam,cf,,110,110,0,27,1,5,174,73,27,/playersAction/p101001114.png?rd=202607310550
101001116,1116,마르셀 드사이,ICON,cb,cdm,,106,105,0,25,1,3,185,81,18,/playersAction/p101001116.png?rd=202607310550
101001179,1179,잔루이지 부폰,ICON,gk,,,110,0,0,23,1,2,192,82,27,/playersAction/p101001179.png?rd=202607310550
101001183,1183,파비오 칸나바로,ICON,cb,,,108,0,0,25,1,3,176,73,27,/playersAction/p101001183.png?rd=202607310550
101001198,1198,필리포 인자기,ICON,st,,,107,0,0,26,1,3,181,74,27,/playersAction/p101001198.png?rd=202607310550
101001201,1201,잔프랑코 졸라,ICON,cf,st,,105,102,0,24,1,5,168,67,27,/playersAction/p101001201.png?rd=202607310550
101001238,1238,프란체스코 토티,ICON,cf,st,,109,109,0,26,1,5,180,82,27,/playersAction/p101001238.png?rd=202607310550
101001256,1256,클라렌스 세이도르프,ICON,cam,rm,cm,107,107,106,26,1,4,176,78,34,/playersAction/p101001256.png?rd=202607310550
101001397,1397,지네딘 지단,ICON,cam,cm,,111,110,0,28,1,5,185,77,18,/playersAction/p101001397.png?rd=202607310550
101001419,1419,파트리크 비에이라,ICON,cdm,cm,,108,108,0,26,1,3,192,82,18,/playersAction/p101001419.png?rd=202607310550
101001605,1605,로베르 피레스,ICON,lm,rm,,105,105,0,25,1,4,187,74,18,/playersAction/p101001605.png?rd=202607310550
101001615,1615,릴리앙 튀람,ICON,cb,rb,,108,107,0,25,1,4,182,75,18,/playersAction/p101001615.png?rd=202607310550
101001625,1625,티에리 앙리,ICON,st,,,109,0,0,27,1,4,188,83,18,/playersAction/p101001625.png?rd=202607310550
101001668,1668,클로드 마켈렐레,ICON,cdm,cm,,107,103,0,24,1,3,174,70,18,/playersAction/p101001668.png?rd=202607310550
101001845,1845,올레 군나르 솔샤르,ICON,st,cf,,103,102,0,24,1,4,178,74,36,/playersAction/p101001845.png?rd=202607310550
101003647,3647,미하엘 발락,ICON,cm,cam,,107,107,0,26,1,4,188,85,21,/playersAction/p101003647.png?rd=202607310550
101004000,4000,데니스 베르캄프,ICON,cf,cam,st,108,108,107,26,1,4,183,78,34,/playersAction/p101004000.png?rd=202607310550
101004202,4202,젠나로 가투소,ICON,cdm,cm,rm,106,100,96,24,1,3,177,76,27,/playersAction/p101004202.png?rd=202607310550
101004231,4231,히바우두,ICON,lw,cam,,108,108,0,26,2,2,186,75,54,/playersAction/p101004231.png?rd=202607310550
101004833,4833,스토이치코프,ICON,st,rw,,107,107,0,25,2,3,178,73,9,/playersAction/p101004833.png?rd=202607310550
101005003,5003,카푸,ICON,rb,rwb,rm,109,109,109,26,1,4,176,75,54,/playersAction/p101005003.png?rd=202607310550
101005099,5099,잔루카 잠브로타,ICON,rb,lb,,106,106,0,25,1,5,181,76,27,/playersAction/p101005099.png?rd=202607310550
101005419,5419,마이클 오언,ICON,st,,,108,0,0,25,1,4,173,70,14,/playersAction/p101005419.png?rd=202607310550
101005467,5467,제이미 캐러거,ICON,cb,,,104,0,0,24,1,3,185,83,14,/playersAction/p101005467.png?rd=202607310550
101005471,5471,프랭크 램파드,ICON,cm,cam,cdm,107,107,102,26,1,4,184,89,14,/playersAction/p101005471.png?rd=202607310550
101005479,5479,카시야스,ICON,gk,,,109,0,0,22,2,3,185,80,45,/playersAction/p101005479.png?rd=202607310550
101005589,5589,루이스 피구,ICON,rw,rm,cam,109,109,108,26,1,4,180,75,38,/playersAction/p101005589.png?rd=202607310550
101005673,5673,야리 리트마넨,ICON,cam,cf,,105,105,0,24,1,4,181,76,17,/playersAction/p101005673.png?rd=202607310550
101005680,5680,클라위베르트,ICON,st,,,106,0,0,26,1,5,188,78,34,/playersAction/p101005680.png?rd=202607310550
101005681,5681,M. 오베르마르스,ICON,lw,,,103,0,0,23,2,5,173,71,34,/playersAction/p101005681.png?rd=202607310550
101005984,5984,다비드 트레제게,ICON,st,,,106,0,0,25,1,4,187,75,18,/playersAction/p101005984.png?rd=202607310550
101006235,6235,파벨 네드베드,ICON,lm,cam,,108,108,0,26,1,5,177,72,12,/playersAction/p101006235.png?rd=202607310550
101006975,6975,프레디 융베리,ICON,rm,lm,cam,104,104,104,24,1,4,175,73,46,/playersAction/p101006975.png?rd=202607310550
101007289,7289,리오 퍼디난드,ICON,cb,,,107,0,0,26,1,3,189,87,14,/playersAction/p101007289.png?rd=202607310550
101007512,7512,에르난 크레스포,ICON,st,cf,,107,106,0,26,1,4,184,78,52,/playersAction/p101007512.png?rd=202607310550
101007518,7518,베론,ICON,cm,cdm,,106,102,0,25,1,4,186,80,52,/playersAction/p101007518.png?rd=202607310550
101007763,7763,안드레아 피를로,ICON,cm,cdm,,109,105,0,26,1,4,177,67,27,/playersAction/p101007763.png?rd=202607310550
101007826,7826,로빈 반페르시,ICON,st,cf,,108,107,0,26,2,4,187,71,34,/playersAction/p101007826.png?rd=202607310550
101009676,9676,사뮈엘 에토,ICON,st,,,109,0,0,26,1,4,179,75,103,/playersAction/p101009676.png?rd=202607310550
101010264,10264,뤼트 반니스텔로이,ICON,st,cf,,108,106,0,26,1,4,188,80,34,/playersAction/p101010264.png?rd=202607310550
101010535,10535,차비,ICON,cm,cdm,,110,106,0,26,1,4,170,67,45,/playersAction/p101010535.png?rd=202607310550
101011141,11141,미로슬라프 클로제,ICON,st,,,108,0,0,26,1,4,184,84,21,/playersAction/p101011141.png?rd=202607310550
101013038,13038,카를레스 푸욜,ICON,cb,rb,,108,106,0,25,1,3,178,80,45,/playersAction/p101013038.png?rd=202607310550
101013128,13128,안드리 셰우첸코,ICON,st,cf,,109,108,0,27,1,5,183,72,49,/playersAction/p101013128.png?rd=202607310550
101013383,13383,나카타 히데토시,ICON,cam,cm,,101,99,0,23,1,4,175,72,163,/playersAction/p101013383.png?rd=202607310550
101013743,13743,스티븐 제라드,ICON,cm,cdm,,107,104,0,26,1,4,183,83,14,/playersAction/p101013743.png?rd=202607310550
101020289,20289,야야 투레,ICON,cm,cdm,cam,107,106,107,26,1,4,188,90,108,/playersAction/p101020289.png?rd=202607310550
101023174,23174,리켈메,ICON,cam,,,105,0,0,24,1,4,183,79,52,/playersAction/p101023174.png?rd=202607310550
101028130,28130,호나우지뉴,ICON,lw,cam,,110,110,0,27,1,4,180,78,54,/playersAction/p101028130.png?rd=202607310550
101031432,31432,디디에 드로그바,ICON,st,,,109,0,0,27,1,4,189,88,108,/playersAction/p101031432.png?rd=202607310550
101034079,34079,애슐리 콜,ICON,lb,,,105,0,0,24,2,3,176,66,14,/playersAction/p101034079.png?rd=202607310550
101037576,37576,호나우두,ICON,st,,,111,0,0,28,1,5,183,78,54,/playersAction/p101037576.png?rd=202607310550
101039943,39943,박지성,ICON,cm,cam,lm,107,107,107,25,1,5,178,73,167,/playersAction/p101039943.png?rd=202607310540
101041236,41236,즐라탄,ICON,st,,,109,0,0,27,1,4,195,95,46,/playersAction/p101041236.png?rd=202607310550
101045197,45197,샤비 알론소,ICON,cm,cdm,,108,108,0,26,1,4,183,77,45,/playersAction/p101045197.png?rd=202607310550
101045661,45661,라울,ICON,st,cf,,108,108,0,26,2,4,180,68,45,/playersAction/p101045661.png?rd=202607310550
101045674,45674,마이클 에시앙,ICON,cdm,cm,rb,106,105,104,24,1,4,177,80,117,/playersAction/p101045674.png?rd=202607310550
101046747,46747,알렉시 랄라스,ICON,cb,,,99,0,0,22,1,3,191,88,95,/players/p46747.png?rd=202607310550
101048940,48940,페트르 체흐,ICON,gk,,,107,0,0,22,2,3,196,90,12,/playersAction/p101048940.png?rd=202607310550
101049369,49369,페르난도 토레스,ICON,st,,,107,0,0,26,1,4,186,78,45,/playersAction/p101049369.png?rd=202607310550
101051539,51539,에드윈 반데르사르,ICON,gk,,,106,0,0,22,1,3,197,83,34,/playersAction/p101051539.png?rd=202607310550
101052241,52241,헨릭 라르손,ICON,st,cf,,106,105,0,24,1,4,178,76,46,/playersAction/p101052241.png?rd=202607310550
101053769,53769,데쿠,ICON,cm,lm,cam,106,106,106,25,1,3,174,73,38,/playersAction/p101053769.png?rd=202607310550
101054050,54050,웨인 루니,ICON,cf,st,cam,109,109,108,26,1,4,176,82,14,/playersAction/p101054050.png?rd=202607310540
101117106,117106,파울레타,ICON,st,cf,,104,102,0,24,1,4,180,78,38,/playersAction/p101117106.png?rd=202607310550
101121939,121939,필립 람,ICON,rb,lb,cdm,108,108,108,26,1,5,170,65,21,/playersAction/p101121939.png?rd=202607310550
101121944,121944,슈바인슈타이거,ICON,cm,lm,,107,106,0,25,1,3,183,79,21,/playersAction/p101121944.png?rd=202607310550
