teamcolor_id,stage,required_players,condition_text,icon_url
1006,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l110.png
1007,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l95.png
1007,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l95.png
1007,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l95.png
1007,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l95.png
1008,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l7.png
1008,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l7.png
1008,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l7.png
1008,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l7.png
1009,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1795.png
1009,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1795.png
1009,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1795.png
1009,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1795.png
1010,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l21.png
1010,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l21.png
1010,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l21.png
1010,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l21.png
1011,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l22.png
1011,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l22.png
1011,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l22.png
1011,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l22.png
1012,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112172.png
1012,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112172.png
1012,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112172.png
1012,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112172.png
1013,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1824.png
1013,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1824.png
1013,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1824.png
1013,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1824.png
1014,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l32.png
1014,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l32.png
1014,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l32.png
1014,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l32.png
1015,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l175.png
1015,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l175.png
1015,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l175.png
1015,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l175.png
1016,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l241.png
1016,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l241.png
1016,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l241.png
1016,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l241.png
1017,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l240.png
1017,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l240.png
1017,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l240.png
1017,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l240.png
1018,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l243.png
1018,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l243.png
1018,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l243.png
1018,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l243.png
1019,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l461.png
1019,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l461.png
1019,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l461.png
1019,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l461.png
1020,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l452.png
1020,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l452.png
1020,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l452.png
1020,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l452.png
1021,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l45.png
1021,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l45.png
1021,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l45.png
1021,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l45.png
1022,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l48.png
1022,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l48.png
1022,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l48.png
1022,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l48.png
1023,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l131682.png
1023,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l131682.png
1023,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l131682.png
1023,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l131682.png
1024,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l52.png
1024,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l52.png
1024,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l52.png
1024,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l52.png
1025,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l131681.png
1025,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l131681.png
1025,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l131681.png
1025,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l131681.png
1026,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l115841.png
1026,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l115841.png
1026,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l115841.png
1026,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l115841.png
1027,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l73.png
1027,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l73.png
1027,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l73.png
1027,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l73.png
1028,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l65.png
1028,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l65.png
1028,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l65.png
1028,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l65.png
1029,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l66.png
1029,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l66.png
1029,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l66.png
1029,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l66.png
1030,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l219.png
1030,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l219.png
1030,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l219.png
1030,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l219.png
1031,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l245.png
1031,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l245.png
1031,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l245.png
1031,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l245.png
1032,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l247.png
1032,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l247.png
1032,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l247.png
1032,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l247.png
1033,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1477.png
1033,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1477.png
1033,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1477.png
1033,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1477.png
1034,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1473.png
1034,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1473.png
1034,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1473.png
1034,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1473.png
1035,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l982.png
1035,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l982.png
1035,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l982.png
1035,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l982.png
1036,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l2056.png
1036,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l2056.png
1036,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l2056.png
1036,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l2056.png
1037,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l2055.png
1037,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l2055.png
1037,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l2055.png
1037,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l2055.png
1038,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l981.png
1038,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l981.png
1038,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l981.png
1038,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l981.png
1039,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112115.png
1039,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112115.png
1039,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112115.png
1039,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112115.png
1040,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1474.png
1040,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1474.png
1040,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1474.png
1040,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1474.png
1041,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l111588.png
1041,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l111588.png
1041,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l111588.png
1041,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l111588.png
1042,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l983.png
1042,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l983.png
1042,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l983.png
1042,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l983.png
1043,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l110765.png
1043,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l110765.png
1043,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l110765.png
1043,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l110765.png
1044,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1478.png
1044,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1478.png
1044,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1478.png
1044,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1478.png
1047,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112540.png
1047,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112540.png
1047,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112540.png
1047,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112540.png
1049,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l111724.png
1049,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l111724.png
1049,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l111724.png
1049,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l111724.png
1051,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l111774.png
1051,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l111774.png
1051,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l111774.png
1051,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l111774.png
1053,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l110955.png
1053,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l110955.png
1053,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l110955.png
1053,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l110955.png
1062,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112258.png
1062,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112258.png
1062,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112258.png
1062,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112258.png
1063,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1476.png
1063,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1476.png
1063,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1476.png
1063,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1476.png
1064,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112555.png
1064,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112555.png
1064,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112555.png
1064,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112555.png
1065,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112554.png
1065,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112554.png
1065,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112554.png
1065,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112554.png
1066,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l113595.png
1066,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l113595.png
1066,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l113595.png
1066,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l113595.png
1067,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1475.png
1067,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1475.png
1067,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1475.png
1067,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l1475.png
1068,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112559.png
1068,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112559.png
1068,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112559.png
1068,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112559.png
1069,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112558.png
1069,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112558.png
1069,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112558.png
1069,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l112558.png
1070,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l980.png
1070,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l980.png
1070,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l980.png
1070,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l980.png
1071,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l113031.png
1071,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l113031.png
1071,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l113031.png
1071,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/crests/light/medium/l113031.png
2001,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_167.png
2001,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_167.png
2001,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_167.png
2001,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_167.png
2002,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_18.png
2002,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_18.png
2002,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_18.png
2002,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_18.png
2003,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_54.png
2003,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_54.png
2003,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_54.png
2003,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_54.png
2004,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_21.png
2004,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_21.png
2004,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_21.png
2004,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_21.png
2005,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_34.png
2005,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_34.png
2005,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_34.png
2005,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_34.png
2006,1,3,3명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_14.png
2006,2,6,6명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_14.png
2006,3,8,8명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_14.png
2006,4,11,11명,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/countries/largeflags/f_14.png
